employee_id,month,hours_worked,overtime_hours,sales_generated,customers_served,projects_completed,absent_days,labor_cost,training_hours,performance_rating
204,2026-07-01,178,10,0,111,4,2,9787.18,2,3.55
553,2025-10-01,181.8,13.8,0,0,4,2,8262.46,6,3.66
1447,2026-02-01,165.7,5.7,0,68,2,0,13868.6,6,3.02
629,2025-11-01,176.8,16.8,0,105,2,0,10911.12,0,2.28
985,2026-08-01,177.9,9.9,0,0,5,0,9724.19,4,
608,2026-08-01,168,8,22803.52,64,2,1,12859.82,8,3.97
291,2026-03-01,186.4,10.4,0,0,4,0,7823.66,4,3.41
921,2026-02-01,166.3,6.3,0,0,3,0,9788.22,8,3.1
864,2025-09-01,177.3,9.3,0,109,4,1,11050.8,6,3.89
442,2025-10-01,192.9,8.9,22706.87,90,2,0,9361.99,8,3.34
1076,2026-03-01,180.9,4.9,17430.71,50,1,0,9283.65,12,2.76
1245,2025-12-01,199.7,15.7,28083.8,66,2,0,9169.08,0,
1172,2025-12-01,199.9,15.9,0,0,5,0,8315.64,0,3.85
1229,2026-03-01,182.9,6.9,0,0,3,0,8349.64,12,3.42
1337,2026-07-01,189.9,5.9,19959.05,62,3,0,10942.21,0,3.6
943,2025-11-01,179.5,19.5,0,116,3,0,9660.3,,2.66
409,2026-06-01,183.9,7.9,22229.41,83,2,0,8102.84,6,3.45
159,2026-07-01,189.7,5.7,0,0,5,0,9494.66,2,3.89
730,2025-11-01,175.3,15.3,0,0,4,0,14805.43,4,3.94
935,2026-02-01,81.6,0,0,37,1,3,6476.17,8,3.83
935,2026-08-01,96,0,0,55,2,1,6476.17,6,4.13
582,2026-07-01,190.2,6.2,30423.5,85,2,0,9523.1,6,
1392,2025-11-01,172.7,12.7,30682.89,86,2,0,7312.05,8,3.66
10,2026-04-01,169.8,9.8,0,0,2,2,12021.48,4,2.71
760,2025-09-01,100.8,0,0,0,1,1,5246,2,2.38
785,2025-11-01,164.7,12.7,40357.27,117,3,1,14861.06,6,4.91
770,2026-05-01,172.2,12.2,23519.93,83,1,1,8767.23,4,3.73
343,2025-12-01,200.1,24.1,0,171,6,1,16268.98,0,3.69
608,2025-12-01,199.5,15.5,44161.91,129,4,0,13640.43,6,4.2
1101,2026-07-01,100.8,0,9657.97,30,1,2,4524.17,6,3.09
1433,2025-10-01,194.7,10.7,28744.74,86,3,0,7586.81,2,3.53
22,2025-10-01,187.7,11.7,0,0,4,1,10524.28,8,3.25
1401,2026-01-01,176,0,0,0,6,0,7442,4,3.83
571,2026-05-01,167.6,7.6,0,93,3,1,10250.21,6,3.29
688,2026-04-01,185.1,9.1,24489.07,66,3,0,7041,4,3.49
1033,2026-05-01,179.8,11.8,0,0,3,0,10230.02,8,
572,2026-05-01,159.2,7.2,0,0,5,2,9320.51,8,3.24
787,2025-10-01,186,10,27544.63,75,2,1,12581.93,4,3.41
27,2026-05-01,169.4,9.4,0,0,5,1,7805.52,0,3.48
698,2025-09-01,176.7,8.7,0,0,6,1,8767.54,0,4.04
1477,2026-02-01,160,0,0,0,3,0,9516,10,3.07
1057,2026-05-01,178.1,10.1,0,0,5,0,8413.06,8,3.96
1297,2025-11-01,141.9,13.9,0,0,6,4,11059.3,0,4.22
708,2026-03-01,155.4,3.4,0,0,5,3,6310.88,4,4.13
801,2026-02-01,86.4,0,6450.56,25,1,2,4554.67,6,2.76
402,2025-09-01,174.4,6.4,24183.69,89,3,1,9045.17,8,4.37
1118,2025-12-01,194.7,18.7,0,0,6,1,10394.48,2,4.18
1182,2026-05-01,170.4,10.4,0,0,6,1,8654.78,8,3.92
1270,2026-03-01,186,10,0,120,4,0,15111.58,6,4.11
1326,2025-10-01,188.9,12.9,25728.83,73,2,1,7933.74,6,2.99
1175,2025-11-01,151.9,15.9,22292.9,67,2,3,9738.2,6,3.01
345,2026-08-01,136.5,0.5,0,0,3,4,9526.54,4,2.85
446,2026-05-01,94.4,6.4,0,0,2,1,5276.51,2,3.17
530,2026-07-01,160,0,17916.55,53,2,3,10431,0,
773,2025-09-01,166.3,6.3,0,0,3,2,11578.62,0,3.73
337,2026-01-01,105.6,0,0,0,3,0,5723.83,4,3.19
314,2026-03-01,105.6,0,11733.59,30,1,0,5571.33,4,2.75
1336,2025-11-01,91.2,0,0,0,3,1,4636,2,3.62
145,2026-01-01,171.8,3.8,0,65,3,1,10879.03,6,3.17
35,2026-01-01,180.2,4.2,0,0,7,0,11695.17,0,4.09
537,2026-02-01,86.4,0,0,28,1,2,8937.72,8,2.66
582,2025-12-01,201.7,17.7,53323.98,119,2,0,10422.57,0,3.81
234,2026-01-01,105.6,0,0,47,2,0,5337.5,6,
991,2025-10-01,186.8,10.8,0,0,3,1,11139.09,2,2.98
1233,2026-04-01,168.7,8.7,26053.83,72,2,2,8887.8,0,3.72
42,2026-07-01,187.8,3.8,0,77,3,0,10395.98,2,2.67
1061,2026-04-01,105.6,0,0,0,3,0,4137.83,6,4.62
576,2026-07-01,182.4,6.4,0,0,5,1,9624.58,2,4.09
316,2025-09-01,166.9,6.9,0,0,5,2,14264.42,8,3.74
1250,2026-01-01,179.1,3.1,0,89,4,0,11076.21,2,3.52
453,2026-08-01,181.2,13.2,0,85,5,0,15666.64,6,3.27
706,2025-12-01,192.4,16.4,0,0,4,1,15394.26,4,3.7
1380,2026-01-01,163.7,3.7,0,93,6,2,12244.39,,4.19
440,2026-02-01,96,0,0,0,2,0,5368,4,2.98
192,2026-02-01,165.6,5.6,15110.67,53,2,0,8761.99,8,3.53
1314,2026-08-01,172,4,0,0,4,0,7794.27,6,3.77
643,2026-07-01,126.6,6.6,0,82,4,0,8141.34,8,3.91
2,2026-01-01,174.3,6.3,0,0,4,1,4717.22,0,3.52
731,2026-03-01,181.2,5.2,25932.82,80,2,0,9147.41,6,3.61
4,2026-08-01,163.9,11.9,0,0,7,2,8970.91,6,4.84
670,2025-12-01,193.7,17.7,34329.16,120,1,1,10157.53,0,3.15
1322,2026-07-01,181.8,13.8,0,79,4,2,14203.24,6,3.21
1403,2026-01-01,150.7,6.7,11340.65,36,1,4,8249.96,4,2.42
170,2026-06-01,178.7,10.7,0,0,6,1,8564.31,0,
1010,2025-12-01,110.4,0,0,0,3,0,6354.17,8,3.89
260,2026-02-01,164.1,4.1,0,0,4,0,10211.57,4,3.14
1313,2025-09-01,167.8,7.8,0,0,3,2,8378.45,14,2.99
1150,2026-01-01,176,0,15274.56,43,1,0,7004.83,6,2.9
653,2026-03-01,181.2,5.2,19921.97,74,2,0,10316.07,8,3.36
1016,2026-01-01,181.2,5.2,0,0,4,0,13120.85,8,3.72
1276,2025-12-01,192,16,0,0,5,1,7164.53,6,3.72
1486,2025-10-01,156.8,4.8,0,0,5,4,8269.99,0,3.07
63,2026-07-01,190.5,6.5,0,0,4,0,29638.38,8,3.29
1172,2026-06-01,180,4,0,0,6,0,7562.87,2,
839,2026-02-01,169.2,9.2,0,57,2,0,12095.65,12,3.87
613,2026-03-01,167.6,7.6,0,0,3,2,7974.8,8,3.3
339,2026-04-01,183,7,22270.02,64,1,0,10955.05,6,3.1
1300,2026-01-01,179.7,3.7,0,101,4,0,10093.49,0,3.75
404,2025-10-01,193.7,9.7,38257.05,106,2,0,8292.16,8,4.07
90,2025-12-01,183.4,15.4,28111.03,73,1,2,11798.09,8,2.73
1283,2025-09-01,190.6,14.6,0,165,5,0,11233.61,6,4.61
1479,2026-06-01,177.4,9.4,0,0,3,1,10784.81,0,2.95
46,2026-01-01,168,0,16829.08,42,2,1,6201.67,2,3.13
1040,2025-10-01,173.6,13.6,0,0,4,3,10920.04,2,2.85
1231,2025-12-01,205.3,21.3,0,0,6,0,7910.71,4,4.66
1344,2026-07-01,180.2,4.2,0,0,4,1,9408.81,2,3.43
1020,2025-10-01,191.3,7.3,0,0,6,0,16137.73,0,3.38
888,2026-01-01,182,6,0,88,6,0,14202.36,8,3.7
1115,2025-11-01,168.3,16.3,0,0,3,1,6844.44,2,3.37
1023,2026-04-01,168,8,0,0,4,2,9196.45,,3.67
7,2025-10-01,194,10,0,0,3,0,10162.76,4,
1187,2026-02-01,160.4,0.4,18462.15,55,1,0,7066.04,4,3.76
889,2026-03-01,171.7,3.7,0,0,5,1,9936.11,4,3.8
1368,2026-02-01,152.2,0.2,0,0,3,1,6110.56,6,3.07
963,2026-07-01,185.1,9.1,0,147,5,1,10967.29,4,4.45
1040,2026-07-01,189.1,5.1,0,0,5,0,10201.37,8,3.08
464,2026-07-01,187.3,3.3,0,0,4,0,5991.35,4,
